YuJ_2015	ERR475501	ERR475502	ERR475503	ERR475504	ERR475505	ERR475506	ERR475507	ERR475508	ERR475509	ERR475510
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae	3.41085	0.03025	0.16211	0	0	0.00107	0	0.31609	0	0.00611
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	3.38274	0.90474	0.20665	1.04849	0.70646	1.05068	2.00286	1.53897	0.69873	2.32177
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2.67484	1.86456	0.38607	4.75129	10.72591	27.54125	0.48269	0.00048	3.6066	2.43736
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2.57368	0.52672	2.94026	0.31801	1.98544	9.69538	0.15339	4.31251	2.59489	5.07939
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	1.58418	0.70634	1.32581	2.99324	0.30102	0.03783	0.07618	0.79949	0.0034	16.32138
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis	1.47746	0.6077	2.37855	1.78086	0.46737	0.00254	0.00723	0.30336	0	0.00413
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	1.28708	0.57476	37.27866	1.84551	20.36757	0.05272	9.41485	11.45671	0.23735	0.03726
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	1.23326	0.7108	0.64254	4.69546	0.32902	0.0049	0.41856	0.45361	0.02133	0.00848
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae	1.11473	1.36982	10.68828	3.66997	0.79135	0.74143	6.67629	0.23254	0.29668	0.50451
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.82093	0.85359	0.07049	2.20147	1.04702	0.97222	0.00405	0.32254	0.45522	0.8925
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0.80687	0.37303	2.68504	4.45826	0.07516	0.1238	0.15921	0.33136	0.03111	0.59691
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae	0.59914	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0.59297	0	24.736	0.00318	0	0.00121	0.00085	0	0.0031	0.00084
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname	0.33368	0.21423	1.03372	0.00197	0.02656	0	0.01071	0.17572	0	0.04639
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	0.27663	0.61096	0.57248	0.01571	0.06583	0.02706	0.04198	29.39124	3.57249	1.62859
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	0.19255	0.33845	0.54995	0.95416	0.07516	0.03717	0.93655	0.11867	0.02092	6.90589
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	0.1902	0.02671	0	0.27786	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0.18961	0.00308	0.08373	0.01207	0.00356	0	0.1409	0.00394	0	0.0034
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	0.11261	0.02196	0.00369	0.00645	0.00376	0	0.01357	0.02647	0	0.02802
