s	Axis1	Axis2	Axis3	Axis4	Axis5	Axis6	Axis7	Axis8	Axis9	Axis10
ERR479006	-1.78668296144135	0.205467432551832	-0.819511466741656	2.05683182818886	-1.24320517704401	-1.66367312715538	-2.57341933170132	0.130310127813767	-16.5678396111781	-1.94282122269391
ERR479007	-1.57402644410035	0.188292484141349	-0.662738357777077	2.07135915211781	-1.13224783933713	-1.21257839803275	-2.10730669565478	0.0172180903323808	-14.7373509928883	-1.45642222791106
ERR478999	-2.03746088796649	-1.59137867290987	0.109238991534282	-1.06218122356033	-0.220559651350912	1.41349911531565	-0.42020432803386	1.18306220301576	-1.21160927308486	1.37693861322006
ERR478998	-2.04385088855605	-1.60795912626826	0.0831923702654253	-1.19288155379571	-0.172714881970987	1.32095365714814	-0.452645089239746	1.31125986475673	-1.15439265713339	1.4838513812678
ERR478995	17.616328032215	-2.74063682805951	0.20696254663819	1.46293360200048	-0.325878994794838	0.0545078121914169	0.0250647728605011	-0.289416836349158	-0.178361548955311	-0.165198396713777
ERR478994	18.6524566470009	-2.75874549062484	0.266048887253416	1.74713777751405	-0.681724324785561	0.175443452369076	-0.049924554029858	-0.254222168159663	0.240534428159697	-0.0946632904504323
ERR478997	17.7406236863192	-2.84341106099545	0.347844620410899	1.5183302543518	-0.261312221715086	0.242308141946919	0.0761078839989036	-0.098296467574722	0.554239664241021	0.0416017026334525
ERR478996	18.3160588966711	-2.85439791858706	0.401700328292982	1.65029062385028	-0.781007010213362	0.0618998927739702	-0.0332686618486213	-0.353498056535551	-0.071706431208359	-0.350009701103122
ERR478991	1.32561266737306	15.8432958953396	-0.404595795539776	1.73644094824192	-0.590191131010931	-0.803007630363191	1.16262978694943	-0.517093893713559	0.710872470513914	0.614866000603953
ERR478990	1.45445166454744	14.7852006529101	-0.418567004387198	1.53130660919255	-0.454531581259397	-0.611610202870013	1.10171661799143	-0.428375612060471	0.815845995296898	0.549222758516254
ERR478993	1.40788858287327	14.6458921170831	-0.439283655754307	1.48070646307429	-0.682915381867586	-0.556444161367143	1.03859134153374	-0.490719973732469	0.772528367123993	0.673854507461787
ERR478992	1.43835038724536	15.4148363059591	-0.28210110181469	1.58608054549107	-0.52386990830259	-0.849050821842079	1.23441868703654	-0.584764234042286	0.651364422019814	0.461980114095738
ERR478979	-1.70290854581011	-1.72979712503407	-0.099908257896486	-1.07413754730157	-1.04613068168834	0.341172577269786	-0.245592796020111	2.10544682132543	-0.429122465960625	2.73893847106816
ERR478978	-1.70290854581011	-1.72979712503407	-0.0999082578964861	-1.07413754730157	-1.04613068168834	0.341172577269786	-0.245592796020112	2.10544682132543	-0.429122465960625	2.73893847106816
ERR478977	-1.70290854581011	-1.72979712503407	-0.0999082578964857	-1.07413754730157	-1.04613068168834	0.341172577269786	-0.245592796020111	2.10544682132543	-0.429122465960625	2.73893847106816
ERR478976	-1.70290854581011	-1.72979712503407	-0.0999082578964861	-1.07413754730157	-1.04613068168834	0.341172577269785	-0.245592796020111	2.10544682132543	-0.429122465960626	2.73893847106816
ERR478975	-4.71864589536112	-3.58720984106352	-3.06827400239767	16.0997374402632	2.85254252256431	-4.91978454487053	-0.475487455083008	-1.32960121873671	2.47307517495297	-0.369197637311907
ERR478974	-5.22996265161591	-4.05858798434415	-3.69291327048832	19.3832458316999	3.33548785292217	-6.39109332926765	-0.432352346909215	-1.90827573251281	3.02078585972677	-0.559021890922329
ERR478973	-0.738265154916952	-0.733512943971157	3.74737127581854	-4.75074095774188	10.0989219425256	-6.04353809264803	0.328012430404179	-1.83847726388211	0.149741497170048	-0.672458085425137
ERR478972	-0.688124917828444	-0.384845290890869	4.14688341471707	-4.85216476838071	10.6808452144455	-6.35294549518018	0.476184754362745	-2.12789887333979	0.0732737430917305	-0.715122108812782
ERR478971	-0.407135513564117	-0.906142672718549	3.7114513193832	-5.04590826316211	9.98490945737758	-6.42348349648887	0.0505356797551671	-2.01549178955527	0.358749712099171	-0.570406458911258
ERR478970	-0.657864871500158	-0.454888436940377	4.28219340207794	-5.09794947653556	10.5466452666653	-6.61528102811702	0.136125564421468	-1.97164522351836	0.260902914611807	-0.375801982792723
ERR478988	-1.89565894119749	-1.66640546038807	-2.32086619391969	-1.30302795346682	-0.901048367212239	-0.215294197408099	-1.96187222895261	2.75642087102086	1.83074006727521	4.70340209844901
ERR478989	-1.94493986259344	-1.94600013999597	-2.4526398220774	-1.40333482026265	-0.768904329682712	-0.185350289899539	-2.02830330838163	2.51840440821449	1.80808673893379	4.53333689380115
ERR478986	-1.90696711796238	-1.861274308359	-2.38391404611422	-1.19589002781761	-0.781079344598846	0.0380821941808345	-1.86904305022123	2.93137744559636	1.72727512054161	4.68507378468722
ERR478987	-1.94902917691368	-1.83577102490058	-2.36315067634923	-1.26390387852645	-0.715194144900624	-0.0163253068414809	-2.04594039727184	2.77068733143641	1.78788544656693	4.76590541085655
ERR478984	-2.9874490490468	-1.00347162078295	19.9466740837833	2.17672310037533	-6.78361382414784	-0.649223954471968	-1.98445137327658	1.17636066858439	1.89867121620353	-1.38513023321772
ERR478985	-3.27166920744191	-0.867175834324331	19.4345337556275	2.8818534498415	-7.22821004575509	0.115880840221356	-1.79115624108591	1.84908180902579	1.1455078195634	-0.757415275778778
ERR478982	-1.56505856914108	-0.990646521291294	-1.5576466596977	-0.505849200783647	-0.184515809846896	0.660584216284655	0.0825678706083276	2.65428146981983	-0.438056397879747	0.728432855865486
